IDCLI;IDVENDEDOR;PCOD;QTDVENDA;MVALOR3;VLVENDA;TENDENCIA;QP_AMAIS;QP_AMENOS;VB1;VB2;V_AMAIS;V_AMENOS;V_META;V_PROJ;TENDENCIA;A1A2;Q1;Q2;Q3;Q4;Q1A;Q2A;Q3A;Q4A;V1;V2;V3;V4;V1A;V2A;V3A;V4A
333;15;37;1;17.73;28.13;"2";2;0;0;56.26;56.26;0;28.13;28.13;"2";"-";0;0;0;1;0;1;2;0;0;0;0;28.13;0;42.19;84.19;0
333;15;39;1;17.28;28.13;"2";2;0;0;56.26;56.26;0;28.13;28.13;"2";"-";0;0;0;1;0;1;2;0;0;0;0;28.13;0;42.19;84.19;0
333;15;1193;4;60.48;91.52;"2";8;0;0;183.04;183.04;0;91.52;91.52;"2";"-";0;0;0;4;0;0;0;0;0;0;0;91.52;0;0;0;0
345;53;14;1;79.76;100.67;"2";2;0;0;201.34;201.34;0;100.67;100.67;"2";"-";0;0;0;1;0;0;0;0;0;0;0;100.67;0;0;0;0
345;53;23;1;41.98;100.68;"1";1;0;100.23;201.36;101.13;0;100.76;100.76;"1";"+";0;1;0;1;0;0;0;0;0;100.23;0;100.68;0;0;0;0
345;53;25;1;41.98;100.67;"2";2;0;0;201.34;201.34;0;100.67;100.67;"2";"-";0;0;0;1;0;0;0;0;0;0;0;100.67;0;0;0;0
345;53;184;1;47.83;69;"2";2;0;0;138;138;0;69;69;"2";"-";0;0;0;1;0;0;0;0;0;0;0;69;0;0;0;0
345;53;203;4;148.80;225.20;"1";7;0;56.06;450.40;394.34;0;253.39;253.39;"1";"+";0;1;0;4;0;0;0;0;0;56.06;0;225.20;0;0;0;0
345;53;344;1;12.72;19.83;"2";2;0;0;39.66;39.66;0;19.83;19.83;"2";"-";0;0;0;1;0;2;0;0;0;0;0;19.83;0;38;0;0
345;53;1254;1;59.89;88.56;"2";2;0;0;177.12;177.12;0;88.56;88.56;"2";"-";0;0;0;1;0;0;0;0;0;0;0;88.56;0;0;0;0
