IDVENDEDOR;PCOD;QTDVENDA;MVALOR3;VLVENDA;TENDENCIA;QP_AMAIS;QP_AMENOS;VB1;VB2;V_AMAIS;V_AMENOS;V_META;V_PROJ;TENDENCIA;A1A2;Q1;Q2;Q3;Q4;Q1A;Q2A;Q3A;Q4A;V1;V2;V3;V4;V1A;V2A;V3A;V4A
0;469;0;0;0;"5";0;0;0;0;0;0;0;0;"5";"Z";0;0;0;0;0;3;0;0;0;0;0;0;0;179.70;0;0
0;471;0;0;0;"5";0;0;0;0;0;0;0;0;"5";"Z";0;0;0;0;0;3;0;0;0;0;0;0;0;179.70;0;0
0;473;0;0;0;"5";0;0;0;0;0;0;0;0;"5";"Z";0;0;0;0;0;3;0;0;0;0;0;0;0;179.70;0;0
0;480;0;0;0;"5";0;0;0;0;0;0;0;0;"5";"Z";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;482;0;0;0;"5";0;0;0;0;0;0;0;0;"5";"Z";0;0;0;0;0;3;0;0;0;0;0;0;0;122.90;0;0
0;484;0;0;0;"5";0;0;0;0;0;0;0;0;"5";"Z";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;490;0;0;0;"5";0;0;0;0;0;0;0;0;"5";"Z";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;496;0;0;0;"5";0;0;0;0;0;0;0;0;"5";"Z";0;0;0;0;40;0;0;0;0;0;0;0;4516;0;0;0
0;497;0;0;0;"5";0;0;0;0;0;0;0;0;"5";"Z";0;0;0;0;40;0;0;0;0;0;0;0;4516;0;0;0
0;498;0;0;0;"5";0;0;0;0;0;0;0;0;"5";"Z";0;0;0;0;20;0;0;0;0;0;0;0;2258;0;0;0
0;500;0;0;0;"5";0;0;0;0;0;0;0;0;"5";"Z";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;501;0;0;0;"5";0;0;0;0;0;0;0;0;"5";"Z";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;502;0;0;0;"5";0;0;0;0;0;0;0;0;"5";"Z";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;537;0;0;0;"5";0;0;0;0;0;0;0;0;"5";"Z";0;0;0;0;10;4;0;0;0;0;0;0;919;384.22;0;0
0;538;0;0;0;"5";0;0;0;0;0;0;0;0;"5";"Z";0;0;0;0;15;4;1;0;0;0;0;0;1378.50;384.22;95.90;0
0;539;0;0;0;"5";0;0;0;0;0;0;0;0;"5";"Z";0;0;0;0;10;4;1;0;0;0;0;0;919;384.22;95.90;0
0;540;0;0;0;"5";0;0;0;0;0;0;0;0;"5";"Z";0;0;0;0;10;4;0;0;0;0;0;0;919;384.22;0;0
0;541;0;0;0;"5";0;0;0;0;0;0;0;0;"5";"Z";0;0;0;0;10;0;0;0;0;0;0;0;913.90;0;0;0
0;542;0;0;0;"5";0;0;0;0;0;0;0;0;"5";"Z";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;544;0;0;0;"5";0;0;0;0;0;0;0;0;"5";"Z";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;545;0;0;0;"5";0;0;0;0;0;0;0;0;"5";"Z";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;547;0;0;0;"5";0;0;0;0;0;0;0;0;"5";"Z";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;550;0;0;0;"5";0;0;0;0;0;0;0;0;"5";"Z";0;0;0;0;0;3;0;0;0;0;0;0;0;116.89;0;0
0;554;0;0;0;"5";0;0;0;0;0;0;0;0;"5";"Z";0;0;0;0;5;0;0;0;0;0;0;0;89.50;0;0;0
0;555;0;0;0;"5";0;0;0;0;0;0;0;0;"5";"Z";0;0;0;0;0;2;0;0;0;0;0;0;0;149.80;0;0
0;556;0;0;0;"5";0;0;0;0;0;0;0;0;"5";"Z";0;0;0;0;6;0;0;0;0;0;0;0;215.40;0;0;0
0;559;0;0;0;"5";0;0;0;0;0;0;0;0;"5";"Z";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;560;0;0;0;"5";0;0;0;0;0;0;0;0;"5";"Z";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;561;0;0;0;"5";0;0;0;0;0;0;0;0;"5";"Z";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;562;0;0;0;"5";0;0;0;0;0;0;0;0;"5";"Z";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;563;0;0;0;"5";0;0;0;0;0;0;0;0;"5";"Z";0;0;0;0;0;2;0;0;0;0;0;0;0;107.99;0;0
0;567;0;0;0;"5";0;0;0;0;0;0;0;0;"5";"Z";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;568;0;0;0;"5";0;0;0;0;0;0;0;0;"5";"Z";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;569;0;0;0;"5";0;0;0;0;0;0;0;0;"5";"Z";0;0;0;0;20;0;2;0;0;0;0;0;758;0;90.08;0
