FLOJA;IDPEDIDO;SI_CAIXA;SI_NUMFECH;FVALDEV;FDESCONTO;FSUBSIDIO;FCOMISSAO;FVALLOCA;FGDEV;FCODOP;FG_FAT;FTV;FTIPOVEN;FTIPODIG;COD_MOD;FVALES;FVALCH;FVALCT;FVALCV;FVALCA;FCARTAO
1;"L1V20568";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;402.32;1
1;"L1V20571";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;2079.48;1
1;"L1P20554";1;1;0;76.84;0;0;0;"V";"6.102";"S";"S";"5";"V";"55";0;0;0;0;1278.76;1
1;"L1P20572";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"M";"55";0;0;0;0;1732;1
1;"L1V20576";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;513.90;1
1;"L1P20580";1;1;0;73.09;0;0;0;"V";"6.102";"S";"S";"5";"V";"55";0;0;0;0;1220.11;1
1;"L1P20508";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"S";"NS";161.63;0;0;0;0;0
1;"L1P20564";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"S";"NS";297.65;0;0;0;0;0
1;"L1V20583";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"S";"NS";0;0;575;0;0;0
1;"L1P18344";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"S";"NS";0;0;1278.40;0;0;1
1;"L1P19099";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"3";"S";"NS";0;0;583.99;0;0;1
1;"L1P20315";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;2181.90;1
1;"L1P20570";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;1805.50;1
1;"L1V20586";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;952.70;1
1;"L1P20559";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;5997.90;1
1;"L1P20583";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"M";"55";0;0;0;0;615.60;1
1;"L1P20581";1;1;0;0;0;0;0;"V";"5.102";"S";"";"5";"M";"55";0;0;292.60;0;0;1
1;"L1P20588";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;7153.30;1
1;"L1P20587";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"M";"55";0;0;0;0;7870.90;1
1;"L1V20591";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;332.36;1
1;"L1V20593";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;1135.46;1
1;"L1V20594";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;191.42;1
1;"L1V20592";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;1056.17;1
1;"L1V20598";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;336.78;1
